Timecode List:,00:00:25.240,00:00:26.520,00:01:45.040,00:02:14.240,00:02:22.800,00:02:33.160,00:02:39.200,00:06:12.640,00:06:14.200,00:06:48.960,00:07:11.280,00:07:52.880,00:07:58.240,00:09:25.600,00:09:26.440,00:10:17.400,00:10:25.640,00:13:30.240,00:13:35.480,00:14:07.320,00:15:11.760,00:15:25.120,00:15:26.160,00:15:43.000,00:15:51.400,00:17:23.440,00:18:47.720,00:19:12.600,00:19:18.280,00:19:22.240,00:19:30.040,00:19:48.360,00:19:55.640,00:22:31.840,00:22:35.400,00:22:40.440,00:22:46.920,00:22:57.280,00:23:28.680,00:24:34.160,00:24:54.280,00:25:49.320,00:25:52.240,00:27:48.080,00:28:32.240,00:28:35.680,00:28:49.000,00:29:20.920,00:29:32.360,00:30:02.560,00:31:01.080,00:31:47.200,00:32:04.720,00:34:14.960,00:34:19.680,00:34:45.840,00:35:18.680,00:36:33.520,00:41:41.560,00:41:59.640,00:44:00.680,00:45:03.680,00:45:35.280,00:45:52.520,00:45:55.240,00:46:04.720,00:46:16.800
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,631,00:00:25.240,25.240,631,00:00:25.240,25.240
2,631,00:00:25.240,25.240,663,00:00:26.520,26.520,32,00:00:01.280,1.280
3,663,00:00:26.520,26.520,2626,00:01:45.040,105.040,1963,00:01:18.520,78.520
4,2626,00:01:45.040,105.040,3356,00:02:14.240,134.240,730,00:00:29.200,29.200
5,3356,00:02:14.240,134.240,3570,00:02:22.800,142.800,214,00:00:08.560,8.560
6,3570,00:02:22.800,142.800,3829,00:02:33.160,153.160,259,00:00:10.360,10.360
7,3829,00:02:33.160,153.160,3980,00:02:39.200,159.200,151,00:00:06.040,6.040
8,3980,00:02:39.200,159.200,9316,00:06:12.640,372.640,5336,00:03:33.440,213.440
9,9316,00:06:12.640,372.640,9355,00:06:14.200,374.200,39,00:00:01.560,1.560
10,9355,00:06:14.200,374.200,10224,00:06:48.960,408.960,869,00:00:34.760,34.760
11,10224,00:06:48.960,408.960,10782,00:07:11.280,431.280,558,00:00:22.320,22.320
12,10782,00:07:11.280,431.280,11822,00:07:52.880,472.880,1040,00:00:41.600,41.600
13,11822,00:07:52.880,472.880,11956,00:07:58.240,478.240,134,00:00:05.360,5.360
14,11956,00:07:58.240,478.240,14140,00:09:25.600,565.600,2184,00:01:27.360,87.360
15,14140,00:09:25.600,565.600,14161,00:09:26.440,566.440,21,00:00:00.840,0.840
16,14161,00:09:26.440,566.440,15435,00:10:17.400,617.400,1274,00:00:50.960,50.960
17,15435,00:10:17.400,617.400,15641,00:10:25.640,625.640,206,00:00:08.240,8.240
18,15641,00:10:25.640,625.640,20256,00:13:30.240,810.240,4615,00:03:04.600,184.600
19,20256,00:13:30.240,810.240,20387,00:13:35.480,815.480,131,00:00:05.240,5.240
20,20387,00:13:35.480,815.480,21183,00:14:07.320,847.320,796,00:00:31.840,31.840
21,21183,00:14:07.320,847.320,22794,00:15:11.760,911.760,1611,00:01:04.440,64.440
22,22794,00:15:11.760,911.760,23128,00:15:25.120,925.120,334,00:00:13.360,13.360
23,23128,00:15:25.120,925.120,23154,00:15:26.160,926.160,26,00:00:01.040,1.040
24,23154,00:15:26.160,926.160,23575,00:15:43.000,943.000,421,00:00:16.840,16.840
25,23575,00:15:43.000,943.000,23785,00:15:51.400,951.400,210,00:00:08.400,8.400
26,23785,00:15:51.400,951.400,26086,00:17:23.440,1043.440,2301,00:01:32.040,92.040
27,26086,00:17:23.440,1043.440,28193,00:18:47.720,1127.720,2107,00:01:24.280,84.280
28,28193,00:18:47.720,1127.720,28815,00:19:12.600,1152.600,622,00:00:24.880,24.880
29,28815,00:19:12.600,1152.600,28957,00:19:18.280,1158.280,142,00:00:05.680,5.680
30,28957,00:19:18.280,1158.280,29056,00:19:22.240,1162.240,99,00:00:03.960,3.960
31,29056,00:19:22.240,1162.240,29251,00:19:30.040,1170.040,195,00:00:07.800,7.800
32,29251,00:19:30.040,1170.040,29709,00:19:48.360,1188.360,458,00:00:18.320,18.320
33,29709,00:19:48.360,1188.360,29891,00:19:55.640,1195.640,182,00:00:07.280,7.280
34,29891,00:19:55.640,1195.640,33796,00:22:31.840,1351.840,3905,00:02:36.200,156.200
35,33796,00:22:31.840,1351.840,33885,00:22:35.400,1355.400,89,00:00:03.560,3.560
36,33885,00:22:35.400,1355.400,34011,00:22:40.440,1360.440,126,00:00:05.040,5.040
37,34011,00:22:40.440,1360.440,34173,00:22:46.920,1366.920,162,00:00:06.480,6.480
38,34173,00:22:46.920,1366.920,34432,00:22:57.280,1377.280,259,00:00:10.360,10.360
39,34432,00:22:57.280,1377.280,35217,00:23:28.680,1408.680,785,00:00:31.400,31.400
40,35217,00:23:28.680,1408.680,36854,00:24:34.160,1474.160,1637,00:01:05.480,65.480
41,36854,00:24:34.160,1474.160,37357,00:24:54.280,1494.280,503,00:00:20.120,20.120
42,37357,00:24:54.280,1494.280,38733,00:25:49.320,1549.320,1376,00:00:55.040,55.040
43,38733,00:25:49.320,1549.320,38806,00:25:52.240,1552.240,73,00:00:02.920,2.920
44,38806,00:25:52.240,1552.240,41702,00:27:48.080,1668.080,2896,00:01:55.840,115.840
45,41702,00:27:48.080,1668.080,42806,00:28:32.240,1712.240,1104,00:00:44.160,44.160
46,42806,00:28:32.240,1712.240,42892,00:28:35.680,1715.680,86,00:00:03.440,3.440
47,42892,00:28:35.680,1715.680,43225,00:28:49.000,1729.000,333,00:00:13.320,13.320
48,43225,00:28:49.000,1729.000,44023,00:29:20.920,1760.920,798,00:00:31.920,31.920
49,44023,00:29:20.920,1760.920,44309,00:29:32.360,1772.360,286,00:00:11.440,11.440
50,44309,00:29:32.360,1772.360,45064,00:30:02.560,1802.560,755,00:00:30.200,30.200
51,45064,00:30:02.560,1802.560,46527,00:31:01.080,1861.080,1463,00:00:58.520,58.520
52,46527,00:31:01.080,1861.080,47680,00:31:47.200,1907.200,1153,00:00:46.120,46.120
53,47680,00:31:47.200,1907.200,48118,00:32:04.720,1924.720,438,00:00:17.520,17.520
54,48118,00:32:04.720,1924.720,51374,00:34:14.960,2054.960,3256,00:02:10.240,130.240
55,51374,00:34:14.960,2054.960,51492,00:34:19.680,2059.680,118,00:00:04.720,4.720
56,51492,00:34:19.680,2059.680,52146,00:34:45.840,2085.840,654,00:00:26.160,26.160
57,52146,00:34:45.840,2085.840,52967,00:35:18.680,2118.680,821,00:00:32.840,32.840
58,52967,00:35:18.680,2118.680,54838,00:36:33.520,2193.520,1871,00:01:14.840,74.840
59,54838,00:36:33.520,2193.520,62539,00:41:41.560,2501.560,7701,00:05:08.040,308.040
60,62539,00:41:41.560,2501.560,62991,00:41:59.640,2519.640,452,00:00:18.080,18.080
61,62991,00:41:59.640,2519.640,66017,00:44:00.680,2640.680,3026,00:02:01.040,121.040
62,66017,00:44:00.680,2640.680,67592,00:45:03.680,2703.680,1575,00:01:03.000,63.000
63,67592,00:45:03.680,2703.680,68382,00:45:35.280,2735.280,790,00:00:31.600,31.600
64,68382,00:45:35.280,2735.280,68813,00:45:52.520,2752.520,431,00:00:17.240,17.240
65,68813,00:45:52.520,2752.520,68881,00:45:55.240,2755.240,68,00:00:02.720,2.720
66,68881,00:45:55.240,2755.240,69118,00:46:04.720,2764.720,237,00:00:09.480,9.480
67,69118,00:46:04.720,2764.720,69420,00:46:16.800,2776.800,302,00:00:12.080,12.080
68,69420,00:46:16.800,2776.800,69435,00:46:17.400,2777.400,15,00:00:00.600,0.600
